Rqt,Priority,Function,Requirement
,,,"Section:PL-Transportation Asset Inventory, ITS and Comm (14 Reqs)"
717158,High,,Maintain an inventory of remote traffic microwave sensor (RTMS) detectors.
717159,High,,Maintain an inventory of roadway weather information systems (RWIS).
717160,High,,Maintain an inventory of RWIS cameras.
717161,High,,Maintain an inventory of RWIS sensors (location and type).
717162,High,,Maintain an inventory of weather stations.
717163,High,,Maintain an inventory of fiber optic cable (state owned or privately owned).
717164,High,,Maintain an inventory of Continuously Operating Reference Station (CORS) components.
717165,High,,Maintain an inventory of communication network components.
717166,High,,"Maintain an inventory of traffic management centers (TMC) including equipment, portable CMS, portable CMS communication  capability and closed circuit televisions."
,,,"Section:PL-Transportation Asset Inventory, Drainage (19 Reqs)"
717167,High,,Capture and track a range of drainage assets.
717168,High,,Store ditches.
717169,High,,Store edge drains.
717170,Medium,,Store head walls.
717171,Medium,,Store inlets.
717172,Medium,,Store catch basins.
717173,Medium,,Store manholes.
717174,High,,Store pipes.
717175,Medium,,Store ponds.
717176,Medium,,Store pump stations.
717177,Medium,,Store storm drains/outfalls.
717178,Medium,,Store storm water management risers.
717179,Medium,,Store trench drains.
717180,Medium,,Store under drains.
717181,Medium,,Store weirs.
717182,Medium,,Store wetlands.
717183,Medium,,Store other mitigation sites.
,,,"Section:PL-Transportation Asset Inventory, Drainage (19 Reqs)"
717184,Medium,,Store other maintenance facility drainage systems.
717185,Medium,,Store other storm water management facilities.
,,,"Section:PL-Transportation Asset Inventory, Lighting (7 Reqs)"
717186,High,,Capture and track a range of lighting assets.
717187,High,,Store overhead sign lighting.
717188,High,,Store standard roadway lighting.
717189,High,,Store high mast lighting.
717190,High,,Store facility lighting.
717191,Medium,,Store navigation lighting.
717192,Medium,,Store streetscape and decorative lighting.
,,,"Section:PL-Transportation Asset Inventory, Pavement (29 Reqs)"
717193,High,,"Manage, store, view and uniquely identify at a minimum pavement asset attributes and associated data for through lanes,  auxiliary lanes, shoulders, ramps, loops, pull outs, parking lots and motorist service facilities (e.g. rest areas, weight stations,  tourist information)."
717194,High,,Capture and track cross-section geometry.
717195,High,,Capture and track curb and gutter.
717196,High,,Capture and track pavements - flexible.
717197,High,,Capture and track pavements - rigid.
717198,Medium,,"Capture and track unpaved roads (surface treated, gravel or dirt)."
717199,High,,Capture and track shoulders - paved.
717200,Medium,,Capture and track shoulders - unpaved.
717201,High,,Store pavement type classification.
717202,High,,Store pavement surface type.
717203,Medium,,Store mix design.
717204,High,,Store base type.
717205,High,,Store base materials.
717206,High,,Store layer thickness.
,,,"Section:PL-Transportation Asset Inventory, Pavement (29 Reqs)"
717207,High,,Store sub grade characteristics.
717208,High,,Store and/or access R-value and date.
717209,High,,Store moisture and date.
717210,High,,Store pH/Resistivity.
717211,High,,Store soil classification.
717212,High,,Store existing ballast.
717213,High,,Store subsurface material.
717214,High,,Store California Bearing Ration (CBR) of subgrade.
717215,High,,Store aggregate size.
717216,High,,Store asphalt grade.
717217,Medium,,Store shoulder types.
717218,Medium,,Store shoulder width.
717219,Medium,,Store presence of curb and gutter.
717220,High,,Integrate with ERP pavement management and/or WVDOT Deighton PMS application to allow authorized user to drill down to  more detailed information about pavement attributes and conditions for a particular segment.
717221,Medium,,Integrate with RoadWare to allow linkage to and display of video images and attribute data obtained from video logs.
,,,"Section:PL-Transportation Asset Inventory, Pavement Markings (8 Reqs)"
717222,Medium,,Capture and track pavement marking information.
717223,Medium,,"Store legends and symbols (Paint, thermoplastic, etc.)."
717224,Medium,,"Store line striping (Paint, thermoplastic, etc.)."
